session_id,startTime,endTime,gender,ProductList1,ProductList2,ProductList3,ProductList4,ProductList5,ProductList6,ProductList7,ProductList8,ProductList9,ProductList10,ProductList11,ProductList12,ProductList13,ProductList14,,,,,,,,,,,,,,,,,,,,,,
u13480,15/11/14 12:32,15/11/14 12:32,female,A00002/B00007/C00024/D02625/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u14242,8/12/2014 22:42,8/12/2014 22:42,female,A00002/B00002/C00002/D22971/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u11583,22/12/14 13:12,22/12/14 13:22,female,A00002/B00001/C00150/D35471/,A00002/B00001/C00049/D33572/,A00002/B00001/C00150/D35478/,A00002/B00001/C00177/D02157/,A00002/B00001/C00177/D03547/,A00002/B00001/C00150/D35483/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13018,17/11/14 20:53,17/11/14 20:53,male,A00001/B00031/C00044/D01652/,A00001/B00031/C00044/D01867/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u22050,7/12/2014 23:28,7/12/2014 23:28,female,A00002/B00002/C00002/D21686/,A00002/B00002/C00007/D02584/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u16340,19/11/14 15:23,19/11/14 15:30,female,A00003/B00012/C00051/D07771/,A00003/B00012/C00051/D07773/,A00003/B00012/C00051/D07774/,A00003/B00012/C00051/D07757/,A00003/B00012/C00051/D07759/,A00003/B00012/C00051/D07760/,A00003/B00012/C00051/D07761/,A00003/B00012/C00051/D07762/,A00003/B00012/C00051/D07763/,A00003/B00012/C00051/D07767/,A00003/B00012/C00051/D07768/,A00003/B00012/C00051/D05509/,A00003/B00012/C00051/D03961/,A00003/B00012/C00051/D07769/,,,,,,,,,,,,,,,,,,,,,,
u17502,29/11/14 15:23,29/11/14 15:23,female,A00002/B00007/C00024/D03342/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u10649,25/11/14 14:31,25/11/14 14:32,female,A00003/B00022/C00048/D11574/,A00003/B00022/C00048/D11579/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24301,17/12/14 16:47,17/12/14 16:47,female,A00002/B00001/C00075/D30808/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17680,25/11/14 20:39,25/11/14 20:40,female,A00002/B00004/C00129/D10706/,A00002/B00004/C00129/D11998/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13716,8/12/2014 13:33,8/12/2014 13:33,male,A00004/B00013/C00083/D22322/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13756,20/12/14 19:58,20/12/14 19:59,female,A00003/B00022/C00036/D27803/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u22367,20/12/14 21:15,20/12/14 21:16,male,A00002/B00003/C00006/D30329/,A00002/B00003/C00006/D34372/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18730,14/12/14 16:15,14/12/14 16:15,female,A00002/B00001/C00059/D03308/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u10829,19/12/14 12:38,19/12/14 12:39,female,A00002/B00003/C00079/D28653/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19908,12/12/2014 20:17,12/12/2014 20:19,female,A00002/B00010/C00095/D25319/,A00002/B00010/C00095/D15819/,A00002/B00010/C00095/D25321/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19899,29/11/14 21:57,29/11/14 21:57,male,A00001/B00031/C00091/D16015/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u23233,18/12/14 15:56,18/12/14 15:56,female,A00002/B00003/C00046/D31170/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17193,22/11/14 11:27,22/11/14 11:27,female,A00001/B00015/C00284/D09455/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u11953,1/12/2014 16:15,1/12/2014 16:15,male,A00001/B00009/C00038/D00645/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u16752,21/11/14 14:38,21/11/14 14:38,female,A00002/B00004/C00012/D08575/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u23430,19/12/14 19:05,19/12/14 19:12,male,A00001/B00001/C00020/D33350/,A00001/B00001/C00020/D33352/,A00001/B00001/C00430/D33346/,A00001/B00001/C00019/D33345/,A00001/B00001/C00019/D33348/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24752,20/12/14 0:01,20/12/14 0:03,male,A00001/B00015/C00098/D33595/,A00001/B00015/C00098/D33596/,A00001/B00015/C00098/D24164/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18178,17/12/14 12:41,17/12/14 12:41,female,A00002/B00007/C00016/D15707/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18757,26/11/14 14:13,26/11/14 14:13,female,A00002/B00004/C00018/D12742/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17311,17/12/14 15:23,17/12/14 15:23,male,A00002/B00003/C00005/D30671/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u21405,8/12/2014 0:40,8/12/2014 0:40,female,A00002/B00003/C00005/D21690/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u10039,9/12/2014 23:15,9/12/2014 23:15,female,A00002/B00001/C00010/D18416/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18209,27/11/14 11:46,27/11/14 11:47,female,A00003/B00012/C00051/D00685/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u14440,16/11/14 11:06,16/11/14 11:06,male,A00001/B00004/C00066/D03817/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24477,20/12/14 10:30,20/12/14 10:32,male,A00002/B00016/C00131/D33795/,A00002/B00016/C00131/D33796/,A00002/B00016/C00131/D33797/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17237,26/11/14 11:51,26/11/14 11:51,female,A00002/B00002/C00009/D09591/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13106,13/12/14 17:58,13/12/14 18:02,female,A00002/B00016/C00044/D16797/,A00002/B00016/C00044/D26309/,A00002/B00007/C00027/D26310/,A00002/B00007/C00027/D26311/,A00002/B00006/C00030/D26312/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18601,2/12/2014 9:02,2/12/2014 9:02,female,A00002/B00001/C00059/D06170/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20387,15/12/14 21:06,15/12/14 21:07,female,A00002/B00003/C00046/D28065/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u14532,26/11/14 20:20,26/11/14 20:20,female,A00001/B00009/C00028/D13350/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u23033,12/12/2014 9:58,12/12/2014 9:59,female,A00002/B00007/C00016/D24536/,A00002/B00007/C00016/D00049/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u16369,19/11/14 15:36,19/11/14 15:38,female,A00002/B00005/C00056/D07782/,A00002/B00005/C00067/D07785/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17691,23/11/14 18:03,23/11/14 18:06,female,A00002/B00010/C00192/D10698/,A00002/B00010/C00192/D10714/,A00002/B00010/C00192/D10703/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13916,15/11/14 13:47,15/11/14 13:48,male,A00001/B00004/C00196/D02718/,A00001/B00004/C00196/D02750/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17524,8/12/2014 8:26,8/12/2014 8:26,female,A00003/B00021/C00064/D21797/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20118,6/12/2014 0:29,6/12/2014 0:29,male,A00001/B00031/C00091/D01848/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20496,1/12/2014 23:14,1/12/2014 23:16,female,A00002/B00003/C00006/D17403/,A00002/B00001/C00010/D17404/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24818,20/12/14 19:33,20/12/14 19:33,male,A00001/B00001/C00019/D03824/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24520,18/12/14 14:56,18/12/14 14:56,male,A00001/B00015/C00103/D26268/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20930,5/12/2014 15:35,9/12/2014 10:38,female,A00002/B00001/C00010/D18354/,A00003/B00012/C00051/D18579/,A00002/B00005/C00056/D23355/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19579,16/12/14 8:19,16/12/14 8:19,female,A00002/B00003/C00006/D28858/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24036,16/12/14 10:56,16/12/14 11:00,female,A00003/B00012/C00048/D14915/,A00003/B00022/C00048/D27981/,A00003/B00012/C00048/D29054/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13696,19/12/14 11:54,19/12/14 12:01,female,A00002/B00001/C00123/D21506/,A00002/B00016/C00135/D30973/,A00002/B00001/C00123/D29443/,A00002/B00001/C00123/D32836/,A00002/B00001/C00123/D27026/,A00002/B00001/C00123/D32838/,A00002/B00001/C00053/D32841/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20779,22/12/14 18:37,22/12/14 18:37,male,A00003/B00026/C00238/D35676/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u15174,16/12/14 10:18,16/12/14 10:18,female,A00002/B00002/C00009/D21101/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19562,28/11/14 12:33,28/11/14 12:33,female,A00002/B00003/C00046/D14636/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18364,25/11/14 14:49,1/12/2014 11:35,female,A00002/B00004/C00102/D11613/,A00002/B00001/C00053/D00172/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18144,25/11/14 10:38,25/11/14 10:50,female,A00002/B00003/C00079/D11312/,A00002/B00003/C00079/D11318/,A00002/B00003/C00079/D11323/,A00002/B00001/C00059/D04550/,A00002/B00003/C00005/D02537/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13611,15/11/14 9:12,18/11/14 14:16,female,A00003/B00021/C00055/D02305/,A00002/B00001/C00053/D01058/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20852,5/12/2014 12:13,5/12/2014 12:13,female,A00002/B00002/C00002/D02833/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u11756,26/11/14 15:45,26/11/14 15:47,female,A00002/B00002/C00002/D12976/,A00002/B00002/C00002/D00205/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u12190,26/11/14 10:47,26/11/14 10:48,female,A00002/B00001/C00123/D03846/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u23652,14/12/14 13:56,14/12/14 13:56,female,A00003/B00012/C00074/D25748/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u11115,7/12/2014 14:40,7/12/2014 14:40,female,A00002/B00001/C00059/D20989/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18738,26/11/14 13:43,13/12/14 2:03,male,A00001/B00027/C00224/D12693/,A00001/B00031/C00063/D25573/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17535,23/11/14 10:30,23/11/14 10:30,female,A00005/B00019/C00207/D10410/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24699,19/12/14 15:21,19/12/14 15:21,male,A00003/B00022/C00074/D31723/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u15083,9/12/2014 13:36,9/12/2014 13:36,female,A00003/B00022/C00032/D23649/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u11177,26/11/14 13:11,26/11/14 13:11,female,A00002/B00003/C00005/D00997/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u12082,13/12/14 11:14,13/12/14 11:14,female,A00002/B00003/C00006/D17191/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u15047,21/12/14 20:59,21/12/14 20:59,female,A00002/B00005/C00057/D19153/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u14600,16/11/14 22:54,16/11/14 22:54,female,A00002/B00002/C00007/D04771/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u22301,8/12/2014 9:10,8/12/2014 9:10,female,A00002/B00002/C00003/D14778/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u21895,16/12/14 10:45,16/12/14 10:54,male,A00003/B00012/C00048/D29060/,A00003/B00012/C00048/D29062/,A00003/B00012/C00074/D06588/,A00003/B00012/C00051/D29065/,A00003/B00012/C00051/D25682/,A00003/B00012/C00051/D00154/,A00003/B00012/C00048/D27689/,A00003/B00012/C00048/D00241/,A00003/B00012/C00051/D28288/,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17071,22/11/14 8:41,22/11/14 8:42,female,A00002/B00003/C00006/D00900/,A00002/B00003/C00005/D03126/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19011,26/11/14 23:09,26/11/14 23:11,female,A00001/B00009/C00038/D13524/,A00001/B00009/C00038/D13526/,A00003/B00036/C00110/D13531/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18895,28/11/14 15:52,28/11/14 15:52,female,A00002/B00002/C00002/D15413/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u12642,7/12/2014 11:59,7/12/2014 11:59,male,A00002/B00001/C00075/D19601/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u21295,7/12/2014 12:00,7/12/2014 12:03,male,A00001/B00001/C00019/D07353/,A00001/B00001/C00019/D20864/,A00001/B00031/C00091/D19225/,A00002/B00003/C00014/D20868/,A00001/B00009/C00032/D20870/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24643,19/12/14 9:32,19/12/14 9:32,female,A00002/B00007/C00021/D00263/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19983,3/12/2014 21:07,3/12/2014 21:07,male,A00001/B00001/C00182/D18102/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u15445,18/11/14 16:14,18/11/14 16:16,female,A00002/B00002/C00081/D07227/,A00002/B00002/C00081/D07234/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u14499,1/12/2014 6:11,1/12/2014 6:12,female,A00003/B00022/C00028/D16228/,A00003/B00022/C00028/D15774/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18036,15/12/14 19:55,15/12/14 19:55,male,A00002/B00001/C00059/D28567/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u14558,23/11/14 21:07,23/11/14 21:09,female,A00002/B00003/C00046/D10914/,A00002/B00003/C00014/D10915/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17528,22/12/14 10:11,22/12/14 10:11,female,A00002/B00003/C00014/D35256/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19735,29/11/14 19:25,29/11/14 19:26,female,A00002/B00007/C00021/D15889/,A00002/B00007/C00021/D15562/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13712,17/11/14 13:40,17/11/14 13:40,male,A00004/B00014/C00253/D05550/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19056,12/12/2014 11:10,12/12/2014 11:13,female,A00002/B00007/C00098/D01211/,A00002/B00002/C00003/D08707/,A00002/B00002/C00002/D12326/,A00002/B00002/C00002/D24663/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u23622,14/12/14 4:00,14/12/14 4:01,male,A00002/B00017/C00228/D26823/,A00002/B00017/C00228/D26824/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13398,20/12/14 7:29,20/12/14 7:29,female,A00006/B00024/C00352/D33643/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19872,29/11/14 20:28,29/11/14 20:28,female,A00002/B00002/C00007/D00211/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19664,8/12/2014 10:35,8/12/2014 10:36,female,A00002/B00002/C00009/D22028/,A00002/B00002/C00009/D22030/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24911,22/12/14 8:05,22/12/14 8:05,male,A00001/B00037/C00113/D35104/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24871,21/12/14 16:06,21/12/14 16:09,female,A00002/B00004/C00018/D34788/,A00002/B00004/C00018/D03032/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u12962,13/12/14 20:05,13/12/14 20:12,male,A00001/B00015/C00103/D26441/,A00001/B00015/C00103/D17071/,A00001/B00015/C00103/D17047/,A00001/B00015/C00103/D26443/,A00001/B00015/C00103/D26445/,A00001/B00015/C00103/D08919/,A00001/B00015/C00103/D26447/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13777,15/11/14 10:49,15/11/14 10:49,female,A00002/B00002/C00007/D02478/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u15050,19/11/14 17:28,19/11/14 17:28,male,A00001/B00037/C00135/D07902/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20317,7/12/2014 15:31,7/12/2014 15:32,male,A00002/B00003/C00005/D21067/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u15913,5/12/2014 23:26,5/12/2014 23:29,female,A00002/B00001/C00010/D13030/,A00002/B00001/C00100/D19224/,A00002/B00001/C00059/D19226/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19568,5/12/2014 19:18,5/12/2014 19:19,female,A00002/B00007/C00016/D18443/,A00002/B00007/C00024/D18446/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u22706,9/12/2014 8:35,9/12/2014 8:37,female,A00002/B00003/C00014/D16909/,A00002/B00003/C00014/D23124/,A00002/B00003/C00014/D02458/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20924,13/12/14 21:43,13/12/14 21:43,male,A00001/B00001/C00019/D26661/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17527,21/12/14 15:58,21/12/14 15:58,female,A00002/B00003/C00006/D23046/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13425,18/11/14 14:15,18/11/14 14:15,female,A00003/B00012/C00051/D06972/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u16882,27/11/14 19:21,27/11/14 19:26,female,A00003/B00012/C00048/D10382/,A00003/B00012/C00048/D10364/,A00002/B00003/C00006/D14609/,A00002/B00003/C00006/D14611/,A00002/B00003/C00006/D13709/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u16409,22/12/14 16:41,22/12/14 16:41,female,A00002/B00010/C00095/D23308/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u23278,12/12/2014 17:23,12/12/2014 17:23,female,A00002/B00001/C00049/D09178/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19321,5/12/2014 22:40,5/12/2014 22:44,female,A00003/B00022/C00048/D19082/,A00003/B00022/C00048/D19083/,A00003/B00022/C00048/D19088/,A00003/B00022/C00048/D19048/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u12236,22/11/14 19:44,22/11/14 19:46,female,A00002/B00002/C00007/D10057/,A00002/B00002/C00007/D08698/,A00002/B00002/C00007/D10058/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u21505,6/12/2014 14:02,6/12/2014 14:02,female,A00003/B00012/C00051/D08297/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18656,18/12/14 9:21,18/12/14 9:21,female,A00002/B00002/C00022/D31291/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u11428,2/12/2014 10:16,2/12/2014 10:16,female,A00001/B00001/C00019/D17738/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u12737,16/11/14 21:38,16/11/14 21:38,male,A00001/B00009/C00028/D04592/,A00001/B00009/C00028/D04639/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u12740,18/11/14 11:18,18/11/14 11:18,male,A00001/B00031/C00012/D06080/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18627,5/12/2014 21:13,5/12/2014 21:13,female,A00002/B00002/C00007/D18758/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13542,17/12/14 13:40,17/12/14 13:40,female,A00003/B00022/C00048/D30513/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u11476,15/11/14 14:34,15/11/14 14:34,female,A00002/B00001/C00010/D02823/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u16896,21/11/14 20:05,21/11/14 20:10,female,A00003/B00012/C00051/D08568/,A00003/B00012/C00051/D04037/,A00003/B00012/C00051/D08935/,A00003/B00012/C00051/D08938/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20646,19/12/14 18:19,19/12/14 18:26,male,A00001/B00001/C00019/D30079/,A00001/B00001/C00001/D33330/,A00001/B00001/C00019/D33331/,A00001/B00001/C00020/D33332/,A00001/B00001/C00001/D33333/,A00001/B00001/C00001/D07777/,A00001/B00001/C00019/D33335/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u12238,8/12/2014 12:46,8/12/2014 12:48,female,A00002/B00004/C00252/D22242/,A00002/B00004/C00252/D06656/,A00002/B00004/C00252/D22243/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20039,12/12/2014 15:50,12/12/2014 15:52,female,A00002/B00002/C00007/D09956/,A00002/B00002/C00002/D05398/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u21318,13/12/14 11:26,13/12/14 11:26,female,A00002/B00007/C00021/D12088/,A00002/B00007/C00021/D09273/,A00002/B00007/C00021/D25878/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u13187,29/11/14 17:10,29/11/14 17:10,female,A00003/B00004/C00089/D15781/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u22200,12/12/2014 19:38,12/12/2014 19:38,female,A00001/B00001/C00019/D25269/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18789,13/12/14 15:14,13/12/14 15:14,female,A00002/B00006/C00015/D26009/,A00002/B00006/C00015/D25641/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20716,3/12/2014 12:42,3/12/2014 12:43,female,A00002/B00017/C00155/D17969/,A00002/B00017/C00155/D17971/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u15668,17/11/14 22:44,17/11/14 22:58,male,A00002/B00001/C00059/D06284/,A00002/B00001/C00020/D06286/,A00002/B00001/C00020/D06289/,A00002/B00001/C00123/D05484/,A00002/B00001/C00020/D06294/,A00002/B00001/C00059/D04699/,A00002/B00001/C00059/D06299/,A00002/B00001/C00019/D06302/,A00002/B00001/C00059/D01485/,A00002/B00001/C00059/D06305/,A00002/B00001/C00177/D06308/,,,,,,,,,,,,,,,,,,,,,,,,,
u10065,15/11/14 22:24,15/11/14 22:24,female,A00002/B00007/C00021/D03428/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u11540,17/12/14 12:29,17/12/14 12:29,female,A00003/B00021/C00055/D30436/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u22980,17/12/14 14:16,17/12/14 14:16,female,A00006/B00024/C00096/D30565/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u23429,13/12/14 11:27,13/12/14 11:28,male,A00002/B00003/C00005/D02537/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u23499,13/12/14 15:05,13/12/14 15:05,female,A00002/B00003/C00006/D11013/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u22220,7/12/2014 21:19,7/12/2014 21:21,male,A00001/B00009/C00028/D21523/,A00001/B00009/C00032/D21524/,A00001/B00009/C00032/D21529/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u10758,17/11/14 11:27,17/11/14 11:27,female,A00002/B00007/C00023/D05387/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u17658,13/12/14 7:41,13/12/14 7:41,female,A00002/B00017/C00045/D25586/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u10576,15/12/14 19:59,15/12/14 19:59,female,A00002/B00004/C00018/D01572/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18833,18/12/14 14:29,18/12/14 14:29,female,A00002/B00005/C00058/D29931/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
